Antecedent,Antecedent Coverage %,Confidence,Lift
CountInput_Mean <= 0.5,0.19866,1.0,1.04332
0.4875 < OWN_COMMIT <= 0.5145,0.2942,0.99848,1.04173
24.4 < CountLineComment <= 39,0.25045,0.99822,1.04146
RatioCommentToCode > 2.85,0.19375,0.9977,1.04091
0.44 < CountClassCoupled <= 1.94,0.18661,0.99761,1.04082
-3 < Del_lines <= 2.3,0.46875,0.99619,1.03934
1.94 < CountClassCoupled <= 4.06,0.22009,0.99594,1.03908
CountClassCoupled <= 0.44,0.20536,0.99565,1.03878
1.9 < RatioCommentToCode <= 2.85,0.19509,0.99542,1.03854
-0.27 < CountDeclInstanceVariable <= 0.26,0.3808,0.99414,1.0372
