Antecedent,Antecedent Coverage %,Confidence,Lift
-9.2 < Del_lines <= 1,0.43596,1.0,1.03553
1.95 < RatioCommentToCode <= 2.92,0.20128,1.0,1.03553
CountInput_Mean <= 0.53,0.19716,1.0,1.03553
0.4914 < OWN_COMMIT <= 0.5114,0.31885,0.99857,1.03404
0.54 < CountClassCoupled <= 2.06,0.21683,0.99789,1.03334
23.2 < CountLineComment <= 37.4,0.26349,0.99653,1.03193
-0.01 < CountDeclMethodPrivate <= 0.122,0.72095,0.99239,1.02764
-0.225 < CountDeclInstanceVariable <= 0.18,0.41812,0.99234,1.0276
-0.215 < CountDeclMethodProtected <= 0.135,0.46478,0.98819,1.0233
0.71 < AvgCyclomaticModified <= 1.035,0.51647,0.98583,1.02085
