feature,mean_abs_weight,mean_weight,count,fraction_selected
CountClassCoupled,0.06912093746880169,-0.059862837262395024,79,1.0
MAJOR_LINE,0.057378655307804886,-0.05116013994775308,79,1.0
CountDeclMethodPublic,0.05465036010924327,-0.05465036010924327,79,1.0
OWN_COMMIT,0.04883292058666096,-0.04883292058666095,79,1.0
CountDeclInstanceVariable,0.026302754560993003,-0.023635624699673938,79,1.0
CountDeclMethodProtected,0.024012985997001354,-0.011154971506482026,79,1.0
CountDeclClassMethod,0.019127812721046227,0.0100999194405097,79,1.0
CountInput_Mean,0.019082803040081486,0.016431710416862193,79,1.0
CountDeclMethodPrivate,0.01514763676937582,0.0008441304820843323,79,1.0
CountDeclMethodDefault,0.0136990709003929,0.004460740005280722,79,1.0
CountDeclClass,0.012160625920169081,-0.0037459088355556087,79,1.0
OWN_LINE,0.009984497898393363,-0.00829809816709384,79,1.0
CountDeclClassVariable,0.008448895095107467,0.0038914665694883784,79,1.0
AvgEssential,0.007225713396397043,0.005607184867015001,79,1.0
AvgLineComment,0.007214195643216398,-0.00037826806044731373,79,1.0
MaxNesting_Min,0.006858391200854036,-0.001253210723377813,79,1.0
RatioCommentToCode,0.006800870888718883,0.004393256555388651,79,1.0
CountClassBase,0.005174151101069868,-0.0014639200087582396,79,1.0
AvgCyclomaticModified,0.004616478530656179,0.001080809612402828,79,1.0
CountClassDerived,0.004610849108193559,0.001745182154513847,79,1.0
MaxInheritanceTree,0.004367167941692072,-0.0009249393530065502,79,1.0
CountOutput_Min,0.004079596391597588,0.002648348622015706,79,1.0
PercentLackOfCohesion,0.0035716791366394137,-1.5104284211222907e-05,79,1.0
CountInput_Min,0.003496720255113499,-0.0009665514572116881,79,1.0
CountOutput_Mean,0.002727420415350818,0.0005443544431209329,79,1.0
AvgLineBlank,0.0025278619916864766,5.5887800795159596e-05,79,1.0
