feature,value,importance,min,max,rule,importance_ratio
Added_lines,351.0,0.4246166424689972,6.0,17843.0,251.74735011885954 < Added_lines <= 987.2609936689339,0.31136159615766046
CountDeclClass,1.0,-0.18085436741401845,1.0,13.0,CountDeclClass <= 1.5005966587345618,0.13261633878192666
MINOR_COMMIT,0.0,-0.10456110669924311,0.0,5.0,MINOR_COMMIT <= 0.5004848706369127,0.07667224932255177
CountLineComment,215.0,0.0699778452237342,15.0,3202.0,146.26265667216038 < CountLineComment <= 442.57727842975316,0.05131314085534565
CountDeclMethodProtected,1.0,0.06264688422369369,0.0,91.0,0.49788124088499186 < CountDeclMethodProtected <= 1.4901518593036855,0.045937516138731226
