feature,value,importance,min,max,rule,importance_ratio
Added_lines,3.0,-0.4178843171429106,6.0,17843.0,Added_lines <= 6.5761356021680655,0.3112532364187193
MAJOR_LINE,3.0,0.20103814156556496,0.0,10.0,2.503347321568387 < MAJOR_LINE <= 5.505000175998428,0.14973946051315296
CountDeclClass,1.0,-0.10137225845393341,1.0,13.0,CountDeclClass <= 1.5005966587345618,0.0755052109698368
CountLineComment,294.0,0.09366411675746045,15.0,3202.0,146.26265667216038 < CountLineComment <= 442.57727842975316,0.06976394729618522
MaxInheritanceTree,4.0,0.0884159132856401,0.0,7.0,3.4981638542906017 < MaxInheritanceTree <= 4.503613651938005,0.06585492212109256
