feature,value,importance,min,max,rule,importance_ratio
Added_lines,0.0,-0.41449671101914787,6.0,17843.0,Added_lines <= 6.5761356021680655,0.27703731099523116
CountLineComment,56.0,0.10403428468174993,15.0,3202.0,32.460664258012386 < CountLineComment <= 71.11039753074189,0.06953343105830567
OWN_LINE,0.639676113360324,0.09464398092451855,0.281553398058252,1.0,0.571420709704031 < OWN_LINE <= 0.8116920473637016,0.0632572304681118
CountDeclClass,1.0,-0.08480051182749676,1.0,13.0,CountDeclClass <= 1.5005966587345618,0.05667814760205355
MaxInheritanceTree,1.0,-0.07698522603523879,0.0,7.0,0.49470484336951337 < MaxInheritanceTree <= 1.5001546410169164,0.051454642317239924
