feature,value,importance,min,max,rule,importance_ratio
Added_lines,7.0,0.29425410366489063,6.0,17843.0,6.5761356021680655 < Added_lines <= 24.088365210503166,0.2535745829248989
MAJOR_LINE,4.0,0.1728302548772183,0.0,10.0,2.503347321568387 < MAJOR_LINE <= 5.505000175998428,0.14893712356584435
MINOR_COMMIT,0.0,0.10523756071573682,0.0,5.0,MINOR_COMMIT <= 0.5004848706369127,0.09068886460430599
CountDeclClass,1.0,-0.09239160081371454,1.0,13.0,CountDeclClass <= 1.5005966587345618,0.07961881024022156
MaxInheritanceTree,1.0,-0.06892125228975922,0.0,7.0,0.49470484336951337 < MaxInheritanceTree <= 1.5001546410169164,0.059393148936133865
