feature,value,importance,min,max,rule,importance_ratio
Added_lines,115.0,0.41534781014111366,6.0,17843.0,24.088365210503166 < Added_lines <= 251.74735011885954,0.3305489159811879
OWN_LINE,0.54971181556196,0.12111828326497681,0.281553398058252,1.0,0.441750463982939 < OWN_LINE <= 0.571420709704031,0.09639034144693948
MAJOR_LINE,1.0,-0.08611331786179265,0.0,10.0,0.49445902988758095 < MAJOR_LINE <= 1.498903175727984,0.06853211495466464
CountLineComment,600.0,0.08389568426860756,15.0,3202.0,442.57727842975316 < CountLineComment <= 1279.9881660055592,0.06676724136589636
CountDeclMethodProtected,11.0,-0.08323464332108935,0.0,91.0,4.516577245480702 < CountDeclMethodProtected <= 86.4781303268648,0.06624116090203863
