feature,mean_abs_weight,mean_weight,count,fraction_selected
CountDeclMethodPrivate,0.07848853324387607,-0.06673610543037631,13,1.0
CountClassCoupled,0.0350763034003162,-0.03507630340031619,13,1.0
MINOR_COMMIT,0.027710021141927742,0.025010050090161922,13,1.0
CountDeclInstanceVariable,0.025297116037754416,-0.021175277890101058,13,1.0
CountDeclMethodProtected,0.019531020017332902,-0.01436551497305294,13,1.0
MAJOR_LINE,0.019257901332245246,-0.011822496564166016,13,1.0
CountDeclMethodDefault,0.016467785225974974,-0.014115778372663259,13,1.0
CountClassDerived,0.01640732122859988,-0.008359874244298059,13,1.0
AvgLineBlank,0.015283938268798493,0.0029376292426456256,13,1.0
Del_lines,0.011754433074252684,-0.008966240641591815,13,1.0
CountDeclClass,0.010479614874547778,-0.006288490637604518,13,1.0
MINOR_LINE,0.009072800860555487,0.006539905730499175,13,1.0
CountDeclClassMethod,0.007766120416483376,-0.0019063659973647751,13,1.0
CountOutput_Min,0.00676068057451625,-0.00035964321422918223,13,1.0
CountClassBase,0.006284854380886871,-0.004038666220189455,13,1.0
CountInput_Mean,0.005865858833624328,-0.003810854615779765,13,1.0
AvgCyclomaticModified,0.005852618045379394,0.00372224666090984,13,1.0
CountInput_Min,0.0056842409711679994,-0.003558486494957899,13,1.0
OWN_COMMIT,0.005136796717015515,-0.002467535759441944,13,1.0
MaxNesting_Min,0.005106750796139482,-0.0005768222054592612,13,1.0
CountLineComment,0.004504919098358112,0.00024883171532236366,13,1.0
MaxInheritanceTree,0.003484180967828508,-0.0034841809678285074,13,1.0
PercentLackOfCohesion,0.0025131422554933477,0.00012484344514844943,13,1.0
AvgEssential,0.0018575017139355137,0.0008100670415739925,13,1.0
AvgLineComment,0.0014560809351340071,-0.0005659649467135055,13,1.0
RatioCommentToCode,0.0012805206736250226,-0.00018669087995402896,13,1.0
