feature,value,importance,min,max,rule,importance_ratio
CountLineComment,423.0,0.16781052293228463,0.0,3673.0,CountLineComment > 115.54619362143157,0.24142744320833404
MINOR_COMMIT,0.0,-0.06852695823835013,0.0,1.0,MINOR_COMMIT <= 0.5001844411582251,0.09858909935585596
MINOR_LINE,6.0,0.06250791692768004,1.0,7.0,5.505201931004661 < MINOR_LINE <= 6.50351120482496,0.0899295604377465
OWN_COMMIT,0.5,0.06248205741299479,0.0,1.0,0.47314245730383975 < OWN_COMMIT <= 0.8757602249511109,0.08989235659376832
PercentLackOfCohesion,100.0,-0.04840909493231172,0.0,100.0,PercentLackOfCohesion > 99.5594681206226,0.06964571597368553
