feature,value,importance,min,max,rule,importance_ratio
CountLineComment,139.0,0.16915929976373265,0.0,3673.0,CountLineComment > 115.54619362143157,0.25888063143442785
MINOR_COMMIT,0.0,-0.07238316832873105,0.0,1.0,MINOR_COMMIT <= 0.5001844411582251,0.1107748752113473
OWN_COMMIT,0.666666666666667,0.06336042318623279,0.0,1.0,0.47314245730383975 < OWN_COMMIT <= 0.8757602249511109,0.0969665066320003
MINOR_LINE,5.0,0.05510352959400534,1.0,7.0,4.494567851334727 < MINOR_LINE <= 5.505201931004661,0.08433019382018166
CountInput_Mean,6.46808510638298,0.04423731380012867,0.0,37.75,4.40326237884732 < CountInput_Mean <= 13.536697610675194,0.06770058604839153
