,Explainer,Strategy,Ratio
0,LIMEHPO,,1.3176470588235294
1,LIMEHPO,,1.2000000000000004
2,LIMEHPO,,1.1125
3,LIMEHPO,,3.3
4,LIMEHPO,,1.0200000000000027
5,LIMEHPO,,10.176995635026994
6,LIMEHPO,,3.25
7,LIMEHPO,,3.9780645161290322
8,LIMEHPO,,14.882668120854223
9,LIMEHPO,,1.6657068709836875
10,LIMEHPO,,28.925605690506508
11,LIMEHPO,,2.046666666666667
12,LIMEHPO,,1.1
13,LIMEHPO,,1.523076923076923
14,LIMEHPO,,2.744458732756605
15,LIMEHPO,,1.0000000000000249
16,LIMEHPO,,1.35
17,LIMEHPO,,1.0000000000000004
18,LIMEHPO,,3.558803921568628
19,LIMEHPO,,1.0872093023255813
20,LIMEHPO,,1.031111111111111
21,LIMEHPO,,8.372222222222215
22,LIMEHPO,,1.3141517857142857
23,TimeLIME,,13.587897947571694
24,TimeLIME,,30.419524603645865
25,TimeLIME,,4.707474120082816
26,TimeLIME,,7.786428571428571
27,TimeLIME,,5.239999999999999
28,TimeLIME,,9.493333333333338
29,TimeLIME,,4.75
30,TimeLIME,,7.669886363636377
31,TimeLIME,,5.333234907446679
32,TimeLIME,,17.583125052745974
33,TimeLIME,,60.69854545454545
34,TimeLIME,,5.825720035778175
35,TimeLIME,,1.8557431509119795
36,TimeLIME,,3.5
37,TimeLIME,,1.375
38,TimeLIME,,10.8464935064935
39,TimeLIME,,1.1944444444444446
40,TimeLIME,,4.695107376283847
41,TimeLIME,,6.583333333333339
42,TimeLIME,,9.533935928809786
43,TimeLIME,,1.0380952380952382
44,TimeLIME,,5.250000000000006
45,TimeLIME,,4.5200000000000005
46,SQAPlanner,confidence,1.0
47,SQAPlanner,confidence,1.0
48,SQAPlanner,confidence,1.0
49,SQAPlanner,confidence,1.0
50,SQAPlanner,confidence,1.0
51,SQAPlanner,confidence,1.0
52,SQAPlanner,confidence,1.0
53,SQAPlanner,confidence,1.0
54,SQAPlanner,confidence,1.0050761421319796
55,SQAPlanner,confidence,1.0
56,SQAPlanner,confidence,1.0
57,SQAPlanner,confidence,1.0
58,SQAPlanner,confidence,1.0
59,SQAPlanner,confidence,1.0
60,SQAPlanner,confidence,1.0
61,SQAPlanner,confidence,1.0
62,SQAPlanner,confidence,1.0
63,SQAPlanner,confidence,1.0
64,SQAPlanner,confidence,1.0
65,SQAPlanner,confidence,1.0
66,SQAPlanner,confidence,1.0
67,SQAPlanner,coverage,1.0
68,SQAPlanner,coverage,1.0
69,SQAPlanner,coverage,1.0
70,SQAPlanner,coverage,1.0
71,SQAPlanner,coverage,1.0
72,SQAPlanner,coverage,1.0
73,SQAPlanner,coverage,1.0
74,SQAPlanner,coverage,1.0
75,SQAPlanner,coverage,1.0076045627376427
76,SQAPlanner,coverage,1.0
77,SQAPlanner,coverage,1.0
78,SQAPlanner,coverage,1.0
79,SQAPlanner,coverage,1.0
80,SQAPlanner,coverage,1.0
81,SQAPlanner,coverage,1.0
82,SQAPlanner,coverage,1.0
83,SQAPlanner,coverage,1.0
84,SQAPlanner,coverage,1.0
85,SQAPlanner,coverage,1.0
86,SQAPlanner,coverage,1.0
87,SQAPlanner,coverage,1.0
88,SQAPlanner,coverage,1.0
89,SQAPlanner,lift,1.0
90,SQAPlanner,lift,1.0
91,SQAPlanner,lift,1.0
92,SQAPlanner,lift,1.0
93,SQAPlanner,lift,1.0
94,SQAPlanner,lift,1.0
95,SQAPlanner,lift,1.0
96,SQAPlanner,lift,1.0
97,SQAPlanner,lift,1.0053634085213035
98,SQAPlanner,lift,1.0
99,SQAPlanner,lift,1.0
100,SQAPlanner,lift,1.0
101,SQAPlanner,lift,1.0
102,SQAPlanner,lift,1.0
103,SQAPlanner,lift,1.0
104,SQAPlanner,lift,1.0
105,SQAPlanner,lift,1.0
106,SQAPlanner,lift,1.0
107,SQAPlanner,lift,1.0
108,SQAPlanner,lift,1.0
109,SQAPlanner,lift,1.0
