feature,value,importance,min,max,rule,importance_ratio
Added_lines,26.0,0.400786850730741,6.0,17843.0,24.088365210503166 < Added_lines <= 251.74735011885954,0.299532141929171
MAJOR_LINE,5.0,0.20543059861744173,0.0,10.0,2.503347321568387 < MAJOR_LINE <= 5.505000175998428,0.1535306537863779
CountDeclInstanceVariable,33.0,0.16712451435933395,0.0,1095.0,CountDeclInstanceVariable > 21.376447020001596,0.1249022108975198
MINOR_COMMIT,0.0,-0.14759694224810338,0.0,5.0,MINOR_COMMIT <= 0.5004848706369127,0.11030808064976164
CountDeclClass,1.0,-0.07395860648947229,1.0,13.0,CountDeclClass <= 1.5005966587345618,0.05527371912401205
