feature,mean_abs_weight,mean_weight,count,fraction_selected
AvgEssential,0.04135431106320314,-0.0291092004302248,45,1.0
CountDeclClassMethod,0.029909498719405268,-0.011936196663323661,45,1.0
MAJOR_LINE,0.026988052492468807,-0.009264387760798319,45,1.0
CountOutput_Mean,0.0224357114411818,0.010736953079027037,45,1.0
Del_lines,0.01826620290210509,0.007192639215246617,45,1.0
CountDeclMethodPrivate,0.01580072654316747,0.0032549605244563727,45,1.0
MINOR_LINE,0.013952729613852095,0.0010082882002442973,45,1.0
CountClassCoupled,0.0134976693302205,0.006220736520080384,45,1.0
CountOutput_Min,0.010493348417948765,-0.0018127735882192569,45,1.0
CountDeclInstanceVariable,0.009242001399400124,-0.0002564420938492613,45,1.0
OWN_COMMIT,0.00836122356353562,-0.002109975611195968,44,0.9777777777777777
CountDeclClassVariable,0.0079605385568655,-0.0008411560987532871,45,1.0
RatioCommentToCode,0.007792274292338752,0.0021210482008733687,45,1.0
MINOR_COMMIT,0.007440321324852608,-0.0018778686023098105,45,1.0
CountClassDerived,0.005985803215022086,-0.0009449147708920233,45,1.0
CountInput_Min,0.005642789461810928,-0.0007489554536281825,45,1.0
CountDeclMethodProtected,0.00555626857773167,0.0002664411092300354,45,1.0
MaxInheritanceTree,0.005458690720366248,0.0015186038878113523,45,1.0
CountInput_Mean,0.00505953269666335,0.0022897292692796566,45,1.0
CountDeclMethodDefault,0.004465170710195531,0.0003112498469292942,45,1.0
MaxNesting_Min,0.0041337696938806325,0.0006057933807018585,45,1.0
CountDeclClass,0.00404373932777482,-0.00022402186237867512,45,1.0
PercentLackOfCohesion,0.003148964071779903,-0.0016988835478900985,45,1.0
CountPath_Min,0.0027832425584801003,-0.0014871908699820209,45,1.0
CountDeclInstanceMethod,0.0024720398174318484,0.0006220819702423552,45,1.0
CountClassBase,0.002249098376115413,0.00023563445969277465,45,1.0
MaxNesting_Mean,0.0019926000865450287,-0.0005916530382755996,45,1.0
AvgLineBlank,0.00193665823368334,8.486899477508425e-05,45,1.0
CountLineComment,0.0019045079935847019,8.070031055501605e-05,45,1.0
AvgLineComment,0.0015917128757874832,0.0003010681182003095,45,1.0
