Model,Method,Project,Flip,Computed,#TP,Flip%
RandomForest,kfeature,activemq@0,65,65,65,1.0
RandomForest,kfeature,activemq@1,48,48,48,1.0
RandomForest,kfeature,activemq@2,82,82,82,1.0
RandomForest,kfeature,activemq@3,79,79,79,1.0
RandomForest,kfeature,camel@0,60,60,60,1.0
RandomForest,kfeature,camel@1,36,36,36,1.0
RandomForest,kfeature,camel@2,24,24,24,1.0
RandomForest,kfeature,derby@0,425,425,426,0.9976525821596244
RandomForest,kfeature,derby@1,195,195,195,1.0
RandomForest,kfeature,groovy@0,8,8,8,1.0
RandomForest,kfeature,groovy@1,25,25,25,1.0
RandomForest,kfeature,hbase@0,108,108,108,1.0
RandomForest,kfeature,hbase@1,153,153,153,1.0
RandomForest,kfeature,hive@0,78,78,78,1.0
RandomForest,kfeature,hive@1,34,34,34,1.0
RandomForest,kfeature,jruby@0,48,48,48,1.0
RandomForest,kfeature,jruby@1,45,45,45,1.0
RandomForest,kfeature,jruby@2,22,22,22,1.0
RandomForest,kfeature,lucene@0,130,130,130,1.0
RandomForest,kfeature,lucene@1,103,103,103,1.0
RandomForest,kfeature,lucene@2,3,3,3,1.0
RandomForest,kfeature,wicket@0,39,39,39,1.0
RandomForest,kfeature,wicket@1,13,13,13,1.0
SVM,kfeature,activemq@0,55,55,55,1.0
SVM,kfeature,activemq@1,22,22,22,1.0
SVM,kfeature,activemq@2,39,39,39,1.0
SVM,kfeature,activemq@3,32,32,32,1.0
SVM,kfeature,camel@0,38,38,40,0.95
SVM,kfeature,camel@1,21,21,21,1.0
SVM,kfeature,camel@2,11,11,11,1.0
SVM,kfeature,derby@0,345,345,400,0.8625
SVM,kfeature,derby@1,154,154,189,0.8148148148148148
SVM,kfeature,groovy@0,2,2,2,1.0
SVM,kfeature,groovy@1,2,2,2,1.0
SVM,kfeature,hbase@0,79,79,79,1.0
SVM,kfeature,hbase@1,117,117,117,1.0
SVM,kfeature,hive@0,60,60,60,1.0
SVM,kfeature,hive@1,16,16,16,1.0
SVM,kfeature,jruby@0,29,29,29,1.0
SVM,kfeature,jruby@1,35,35,35,1.0
SVM,kfeature,jruby@2,8,8,8,1.0
SVM,kfeature,lucene@0,104,104,104,1.0
SVM,kfeature,lucene@1,29,29,32,0.90625
SVM,kfeature,lucene@2,1,1,1,1.0
SVM,kfeature,wicket@0,8,8,8,1.0
SVM,kfeature,wicket@1,0,0,0,0.0
XGBoost,kfeature,activemq@0,70,70,70,1.0
XGBoost,kfeature,activemq@1,54,54,54,1.0
XGBoost,kfeature,activemq@2,90,90,90,1.0
XGBoost,kfeature,activemq@3,90,90,90,1.0
XGBoost,kfeature,camel@0,51,51,51,1.0
XGBoost,kfeature,camel@1,34,34,34,1.0
XGBoost,kfeature,camel@2,28,28,28,1.0
XGBoost,kfeature,derby@0,431,431,431,1.0
XGBoost,kfeature,derby@1,217,217,217,1.0
XGBoost,kfeature,groovy@0,8,8,8,1.0
XGBoost,kfeature,groovy@1,25,25,25,1.0
XGBoost,kfeature,hbase@0,101,101,101,1.0
XGBoost,kfeature,hbase@1,167,167,167,1.0
XGBoost,kfeature,hive@0,84,84,84,1.0
XGBoost,kfeature,hive@1,68,68,68,1.0
XGBoost,kfeature,jruby@0,47,47,47,1.0
XGBoost,kfeature,jruby@1,48,48,48,1.0
XGBoost,kfeature,jruby@2,23,23,23,1.0
XGBoost,kfeature,lucene@0,138,138,138,1.0
XGBoost,kfeature,lucene@1,115,115,115,1.0
XGBoost,kfeature,lucene@2,5,5,5,1.0
XGBoost,kfeature,wicket@0,40,40,40,1.0
XGBoost,kfeature,wicket@1,17,17,17,1.0
LightGBM,kfeature,activemq@0,76,76,76,1.0
LightGBM,kfeature,activemq@1,54,54,54,1.0
LightGBM,kfeature,activemq@2,88,88,88,1.0
LightGBM,kfeature,activemq@3,87,87,87,1.0
LightGBM,kfeature,camel@0,44,44,44,1.0
LightGBM,kfeature,camel@1,37,37,37,1.0
LightGBM,kfeature,camel@2,24,24,24,1.0
LightGBM,kfeature,derby@0,438,438,439,0.9977220956719818
LightGBM,kfeature,derby@1,205,205,205,1.0
LightGBM,kfeature,groovy@0,12,12,12,1.0
LightGBM,kfeature,groovy@1,25,25,25,1.0
LightGBM,kfeature,hbase@0,103,103,103,1.0
LightGBM,kfeature,hbase@1,156,156,156,1.0
LightGBM,kfeature,hive@0,87,87,87,1.0
LightGBM,kfeature,hive@1,61,61,61,1.0
LightGBM,kfeature,jruby@0,46,46,46,1.0
LightGBM,kfeature,jruby@1,48,48,48,1.0
LightGBM,kfeature,jruby@2,23,23,23,1.0
LightGBM,kfeature,lucene@0,134,134,134,1.0
LightGBM,kfeature,lucene@1,110,110,110,1.0
LightGBM,kfeature,lucene@2,4,4,4,1.0
LightGBM,kfeature,wicket@0,44,44,44,1.0
LightGBM,kfeature,wicket@1,14,14,14,1.0
CatBoost,kfeature,activemq@0,68,68,68,1.0
CatBoost,kfeature,activemq@1,45,45,45,1.0
CatBoost,kfeature,activemq@2,83,83,83,1.0
CatBoost,kfeature,activemq@3,87,87,87,1.0
CatBoost,kfeature,camel@0,50,50,50,1.0
CatBoost,kfeature,camel@1,39,39,39,1.0
CatBoost,kfeature,camel@2,22,22,22,1.0
CatBoost,kfeature,derby@0,410,410,410,1.0
CatBoost,kfeature,derby@1,206,206,206,1.0
CatBoost,kfeature,groovy@0,8,8,8,1.0
CatBoost,kfeature,groovy@1,22,22,22,1.0
CatBoost,kfeature,hbase@0,104,104,104,1.0
CatBoost,kfeature,hbase@1,158,158,158,1.0
CatBoost,kfeature,hive@0,71,71,71,1.0
CatBoost,kfeature,hive@1,55,55,55,1.0
CatBoost,kfeature,jruby@0,44,44,44,1.0
CatBoost,kfeature,jruby@1,44,44,44,1.0
CatBoost,kfeature,jruby@2,21,21,21,1.0
CatBoost,kfeature,lucene@0,106,106,106,1.0
CatBoost,kfeature,lucene@1,91,91,91,1.0
CatBoost,kfeature,lucene@2,6,6,6,1.0
CatBoost,kfeature,wicket@0,40,40,40,1.0
CatBoost,kfeature,wicket@1,14,14,14,1.0
