feature,value,importance,min,max,rule,importance_ratio
MAJOR_COMMIT,5.0,0.20155525526023427,0.0,10.0,4.498890104152141 < MAJOR_COMMIT <= 5.496120711316784,0.31374306106752214
CountOutput_Mean,5.70588235294118,0.05097694341824338,0.0,28.0,CountOutput_Mean > 4.581772384689348,0.07935125408293443
CountInput_Mean,2.88235294117647,0.04563765640570774,0.0,57.3076923076923,1.2494316508645946 < CountInput_Mean <= 3.650492018237092,0.07104006294545631
CountClassBase,3.0,0.045172046083596186,0.0,7.0,2.4973382875892316 < CountClassBase <= 3.5016059418631427,0.07031528894968378
CountClassCoupled,16.0,0.04033790080118155,0.0,230.0,9.508998472982986 < CountClassCoupled <= 16.502179241780798,0.06279040681951228
