Antecedent,Antecedent Coverage %,Confidence,Lift
-0.029 < OWN_COMMIT <= 0.0185,0.46832,1,1.02892
-0.09 < CountDeclInstanceVariable <= 0.46,0.32587,1,1.02892
0.75 < CountDeclMethodProtected <= 1.36,0.2506,1,1.02892
CountClassBase <= 1.06,0.23964,1,1.02892
0.47 < MAJOR_LINE <= 1.09,0.23916,1,1.02892
CountDeclMethodProtected <= 0.13,0.23535,1,1.02892
1.495 < CountDeclClass <= 2.055,0.23011,1,1.02892
19.65 < CountLineComment <= 22.75,0.22773,1,1.02892
2.74 < CountDeclMethodPublic <= 4.08,0.21915,1,1.02892
1.52 < CountDeclMethodPublic <= 2.74,0.21105,1,1.02892
