feature,value,importance,min,max,rule,importance_ratio
CountClassCoupled,17.0,0.12976137673339708,0.0,71.0,14.476416159221149 < CountClassCoupled <= 58.969614743832466,0.2163800668228675
OWN_COMMIT,1.0,0.12333028053848934,0.0,1.0,OWN_COMMIT > 0.9158840980681497,0.2056560666663535
OWN_LINE,0.431192660550459,0.061681274128504,0.282051282051282,1.0,OWN_LINE <= 0.4929700565327333,0.10285493691290538
CountDeclMethodPrivate,1.0,0.04246995501995883,0.0,21.0,0.5047804236063558 < CountDeclMethodPrivate <= 1.5022263967624856,0.07081962242172868
CountOutput_Mean,3.04761904761905,-0.04201289123446997,0.0,40.0,2.0678217985545446 < CountOutput_Mean <= 14.196423099739473,0.0700574580941292
