feature,value,importance,min,max,rule,importance_ratio
CountInput_Mean,3.08695652173913,0.08895907864265366,0.0,52.5,3.0204252633040665 < CountInput_Mean <= 3.1068200699447988,0.1280526215645618
CountClassBase,3.0,0.08455257287951862,0.0,9.0,2.498839323741331 < CountClassBase <= 4.502788861793099,0.12170965327488976
CountDeclInstanceVariable,14.0,0.06752257363050802,0.0,68.0,10.490012821429584 < CountDeclInstanceVariable <= 21.475771289759166,0.09719572976812452
CountDeclMethodPublic,18.0,0.06590831174404552,0.0,143.0,13.483597281164696 < CountDeclMethodPublic <= 19.495309567525048,0.09487207186150849
CountClassCoupled,20.0,0.05828426550835022,0.0,70.0,9.4837322829943 < CountClassCoupled <= 27.470932970550695,0.08389759772906047
