feature,value,importance,min,max,rule,importance_ratio
OWN_COMMIT,0.5,0.25663560313626194,0.0,1.0,0.36450244784925023 < OWN_COMMIT <= 0.9806106315167405,0.30281940801956225
MaxInheritanceTree,1.0,-0.06880360889908273,0.0,5.0,0.49601854060058526 < MaxInheritanceTree <= 1.4975445324042342,0.08118541567035512
CountDeclMethodDefault,8.0,0.06752195042131581,0.0,68.0,6.50708290542353 < CountDeclMethodDefault <= 9.500311389067832,0.07967311162221195
CountClassCoupled,19.0,0.060888201087748214,0.0,42.0,12.518831333769295 < CountClassCoupled <= 20.47194193978083,0.07184556150215123
CountPath_Min,1.0,-0.04674821268105671,0.0,480.0,CountPath_Min <= 1.5229644100294304,0.055160959418923045
