feature,value,importance,min,max,rule,importance_ratio
OWN_COMMIT,0.666666666666667,0.20544507973326667,0.0,1.0,0.5211086302390999 < OWN_COMMIT <= 0.9396160800866156,0.31928068180713703
PercentLackOfCohesion,79.0,0.08213116039417206,0.0,100.0,77.58852664300258 < PercentLackOfCohesion <= 79.50772986105409,0.1276394300720576
CountDeclMethodPrivate,1.0,0.05177443149128733,0.0,301.0,0.47984389130990057 < CountDeclMethodPrivate <= 2.4681446528566404,0.08046226177904622
CountLineComment,51.0,0.045854451841364864,0.0,4565.0,40.8582338807355 < CountLineComment <= 118.84002223414448,0.07126206510670138
CountClassCoupled,4.0,0.03910381775766689,0.0,242.0,2.533746829526269 < CountClassCoupled <= 6.440816326530612,0.06077095451076052
