feature,mean_abs_weight,mean_weight,count,fraction_selected
MINOR_COMMIT,0.04152994668564275,0.03530364903190258,108,1.0
MAJOR_LINE,0.036250486220250434,-0.035534950678840486,108,1.0
CountClassCoupled,0.034429392352558125,-0.034429392352558125,108,1.0
Del_lines,0.030904307189307277,-0.03090430718930728,108,1.0
CountInput_Min,0.02681921170310017,-0.01041903598324302,108,1.0
OWN_COMMIT,0.017753458358709,-0.016690993322014087,108,1.0
CountInput_Mean,0.013967121066731472,0.008150154815298473,108,1.0
MaxNesting_Mean,0.013731783878197297,0.003396680324498068,108,1.0
CountDeclClassMethod,0.011620261044307056,-0.002174259659276944,108,1.0
AvgLineComment,0.009903588168799167,0.00672011889152499,108,1.0
MaxInheritanceTree,0.009536798935749836,-0.0004440719794085193,108,1.0
CountDeclMethodDefault,0.009167777552167593,-0.0016210650494951195,108,1.0
CountDeclMethodProtected,0.008166418973569243,0.0035607297774257387,108,1.0
CountClassDerived,0.007996526944323292,-0.0022354194716141854,108,1.0
CountOutput_Mean,0.007728646667366819,-0.0064384672251852175,108,1.0
CountOutput_Min,0.006809281420883257,-0.00027566288551834537,108,1.0
AvgLineBlank,0.004680661705296131,0.0007048997734629853,108,1.0
MaxNesting_Min,0.0038589340611593537,-0.0019194240326092528,108,1.0
MINOR_LINE,0.0036438535499826227,0.0002948945713261553,108,1.0
AvgEssential,0.003285171478314488,-0.0006645797404066955,108,1.0
CountClassBase,0.0024789314075961233,-8.16430901371387e-05,108,1.0
CountPath_Min,0.002473477349306216,-0.0003228458185827721,108,1.0
PercentLackOfCohesion,0.0024429605597291355,0.00017021292209909415,108,1.0
RatioCommentToCode,0.0024359631943570996,0.00019922146037059998,108,1.0
