feature,mean_abs_weight,mean_weight,count,fraction_selected
CountDeclInstanceVariable,0.06335936305231198,-0.043043352779936546,24,1.0
CountDeclMethodPublic,0.06184950659368541,-0.025141182152652295,24,1.0
MAJOR_LINE,0.030376315622986847,-0.025538354312787143,24,1.0
CountDeclMethodProtected,0.02657342754316309,-0.01082227021440795,24,1.0
MaxInheritanceTree,0.02132002836317241,-0.010038198823950756,24,1.0
CountDeclMethodDefault,0.019556187888324833,0.001176387191369428,24,1.0
CountInput_Min,0.018365717508386028,0.003400786584537203,24,1.0
CountDeclMethodPrivate,0.017017265715568757,-0.0032774052321498013,24,1.0
CountDeclClassVariable,0.01618424372214067,-0.007201441177992383,24,1.0
AvgCyclomaticModified,0.016094211849091263,-0.0032485319577922217,24,1.0
OWN_COMMIT,0.01470875461784264,-0.0011708615067538538,24,1.0
AvgLineComment,0.014475292246608387,-0.004759926755856534,24,1.0
CountOutput_Mean,0.013689334154253907,-0.004699007870536025,24,1.0
CountClassCoupled,0.012539272582087702,-0.007081775575160056,24,1.0
MINOR_LINE,0.009754558283604046,0.004617280089964857,24,1.0
AvgLineBlank,0.0076423072918435945,0.003310550556827977,24,1.0
CountClassBase,0.007109942036738182,-0.000700128497990634,24,1.0
CountLineComment,0.007080226564072751,0.004031282436220013,24,1.0
AvgEssential,0.004941019752858683,0.0008092540528860867,24,1.0
MaxNesting_Min,0.00464178198968633,0.00014518689270745345,24,1.0
CountOutput_Min,0.004060220226734787,-0.0006889428408263053,24,1.0
CountDeclClassMethod,0.003925868076358638,0.0025663096406597103,24,1.0
CountDeclClass,0.0037567821579234683,0.0013308422729871325,24,1.0
CountPath_Min,0.0036773455816216014,0.0013127255290855911,24,1.0
CountClassDerived,0.0031807418682769247,0.0009463623127831922,24,1.0
