Antecedent,Antecedent Coverage %,Confidence,Lift
-7.8 < Del_lines <= 1.2,0.48376,1.0,1.05669
0.84 < CountClassCoupled <= 2.24,0.20282,1.0,1.05669
CountClassCoupled <= 0.84,0.19624,1.0,1.05669
AvgCyclomaticModified <= 0.858,0.11812,1.0,1.05669
0.4895 < OWN_COMMIT <= 0.51,0.33318,0.99859,1.0552
2.24 < CountClassCoupled <= 4.18,0.21694,0.99783,1.0544
27.2 < CountLineComment <= 40,0.20235,0.99767,1.05423
CountLineComment <= 27.2,0.21129,0.99555,1.05198
CountInput_Mean <= 0.69,0.19859,0.99526,1.05168
RatioCommentToCode > 2.76,0.19718,0.99523,1.05164
