feature,value,importance,min,max,rule,importance_ratio
Added_lines,361.0,0.23020930196002296,0.0,10080.0,14.469711558006416 < Added_lines <= 1320.5590427581683,0.15841269675893513
OWN_LINE,0.35522664199815,0.20403746358174207,0.252747252747253,1.0,OWN_LINE <= 0.6736697687357529,0.14040320947348026
MaxInheritanceTree,4.0,0.13195951207066484,0.0,7.0,3.505949893117027 < MaxInheritanceTree <= 4.504670081117364,0.09080459387230741
CountLineComment,399.0,0.11565066396635308,15.0,3419.0,254.46825531408285 < CountLineComment <= 430.39806709852445,0.07958207337795956
CountDeclMethodDefault,6.0,0.11148392246081312,0.0,98.0,1.510829498195051 < CountDeclMethodDefault <= 20.486715834534593,0.0767148358121005
