feature,mean_abs_weight,mean_weight,count,fraction_selected
CountDeclMethodPrivate,0.04296583936296042,-0.03674892726066544,34,1.0
MAJOR_LINE,0.03230954296865893,-0.028348922198332745,34,1.0
CountInput_Min,0.02214039820027212,-0.013418301901518808,34,1.0
AvgEssential,0.021649714265358107,-0.0032340719485816904,34,1.0
OWN_COMMIT,0.019245050755900227,-0.019245050755900227,34,1.0
CountDeclMethodProtected,0.015408328890963623,0.005934147926756311,34,1.0
MINOR_COMMIT,0.014981872293090955,-0.0009604270082999051,34,1.0
MINOR_LINE,0.014330235097195054,-0.010745928025414592,34,1.0
AvgLineComment,0.013345868570133522,0.007046898011900747,34,1.0
PercentLackOfCohesion,0.013029550122056751,-0.013029550122056751,34,1.0
MaxNesting_Mean,0.012626829408969314,-0.011367516675518165,34,1.0
CountClassBase,0.012297212683831013,0.002989601260611463,34,1.0
CountClassDerived,0.01151223348800344,-0.009116829710603765,33,0.9705882352941176
RatioCommentToCode,0.0056964201217470384,-0.004865544351946998,34,1.0
CountPath_Min,0.00508094198145025,-0.00019897153243363328,34,1.0
CountDeclInstanceVariable,0.0031955619041292523,0.0003379631309383417,34,1.0
MaxNesting_Min,0.003011104443513064,-0.002333475330831101,34,1.0
CountLineComment,0.0028835188080651073,0.00135906723841288,34,1.0
CountClassCoupled,0.0025981900251557774,0.0011585130401817528,34,1.0
CountInput_Mean,0.0024196151321616605,-0.0010110559853462192,34,1.0
CountOutput_Min,0.002286516696389993,-0.0006179208804285976,34,1.0
MaxInheritanceTree,0.001873541533402996,-0.0018541599770420085,34,1.0
AvgLineBlank,0.0015652598542385276,-0.0001430843049344713,34,1.0
