feature,value,importance,min,max,rule,importance_ratio
CountClassCoupled,35.0,0.17913008697833724,0.0,230.0,23.495360010578608 < CountClassCoupled <= 42.555205635341274,0.20668003662818146
MAJOR_COMMIT,5.0,0.1769580511414775,0.0,10.0,4.498890104152141 < MAJOR_COMMIT <= 5.496120711316784,0.2041739448046779
MAJOR_LINE,8.0,0.08421835107765119,0.0,21.0,7.493770580251528 < MAJOR_LINE <= 11.993562776583781,0.09717101230235535
CountOutput_Mean,5.88709677419355,0.0553674373216634,0.0,28.0,CountOutput_Mean > 4.581772384689348,0.0638828695205949
CountLineComment,380.0,0.052119636546334384,0.0,4740.0,274.975258827432 < CountLineComment <= 423.10211318246184,0.060135561658866375
