feature,value,importance,min,max,rule,importance_ratio
CountLineComment,155.0,0.1961317972976885,0.0,1043.0,115.41967126776413 < CountLineComment <= 699.3640439784572,0.17918492417203252
Del_lines,140.0,0.19362031728975299,0.0,199.0,Del_lines > 26.52313278361831,0.1768904499410211
CountClassCoupled,35.0,0.19298231432715834,0.0,71.0,CountClassCoupled > 29.979533932174256,0.17630757396655308
CountDeclInstanceVariable,53.0,0.14885861783395543,0.0,146.0,CountDeclInstanceVariable > 21.48866785028532,0.13599640913118388
AvgEssential,1.0,-0.05978410629797478,0.0,4.0,0.5014991464925511 < AvgEssential <= 1.4996372156384044,0.054618428532707854
