"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'0.075 < MAJOR_COMMIT <= 0.83'","b'target = 0'",0.16518,370,0.16384,367,0.99189,0.01901,1.13128,2.57317e-19,0.87679,1964
"b'000001'","b'MAJOR_COMMIT <= 0.075'","b'target = 0'",0.23482,526,0.23125,518,0.98479,0.02536,1.12318,6.41628e-24,0.87679,1964
"b'000002'","b'0.83 < MAJOR_COMMIT <= 1.15'","b'target = 0'",0.225,504,0.22009,493,0.97817,0.02281,1.11564,1.43053e-19,0.87679,1964
"b'000003'","b'CountClassCoupled <= 0.56'","b'target = 0'",0.20045,449,0.1933,433,0.96437,0.01756,1.09989,1.54649e-12,0.87679,1964
"b'000004'","b'0.56 < CountClassCoupled <= 1.92'","b'target = 0'",0.17813,399,0.17143,384,0.96241,0.01525,1.09765,1.31988e-10,0.87679,1964
"b'000005'","b'CountDeclMethodPublic <= 0.94'","b'target = 0'",0.2,448,0.19241,431,0.96205,0.01705,1.09725,7.66789e-12,0.87679,1964
"b'000006'","b'OWN_COMMIT <= 0.06'","b'target = 0'",0.22054,494,0.21071,472,0.95547,0.01735,1.08974,3.52644e-11,0.87679,1964
"b'000007'","b'18.8 < CountLineComment <= 21.25'","b'target = 0'",0.27187,609,0.25938,581,0.95402,0.021,1.08809,1.48304e-13,0.87679,1964
"b'000008'","b'1.92 < CountClassCoupled <= 3.4'","b'target = 0'",0.22679,508,0.21563,483,0.95079,0.01678,1.0844,3.12487e-10,0.87679,1964
"b'000009'","b'0.936 < AvgCyclomaticModified <= 1.016'","b'target = 0'",0.53973,1209,0.50982,1142,0.94458,0.03659,1.07732,8.79944e-27,0.87679,1964
