feature,value,importance,min,max,rule,importance_ratio
Added_lines,66.0,0.3596127980211111,6.0,17843.0,24.088365210503166 < Added_lines <= 251.74735011885954,0.3945865856217558
MINOR_COMMIT,0.0,-0.10758447057206787,0.0,5.0,MINOR_COMMIT <= 0.5004848706369127,0.11804749203187259
CountDeclClass,4.0,0.06153872370655256,1.0,13.0,3.5026413260608633 < CountDeclClass <= 4.500762145713396,0.06752361151914198
MAJOR_LINE,0.0,-0.05593812528110726,0.0,10.0,MAJOR_LINE <= 0.49445902988758095,0.06137833242369301
CountDeclMethodDefault,0.0,-0.053464221379330115,0.0,98.0,CountDeclMethodDefault <= 0.5251436229312023,0.0586638314406071
