feature,mean_abs_weight,mean_weight,count,fraction_selected
MAJOR_LINE,0.03410222547730431,-0.024779214960166995,200,1.0
PercentLackOfCohesion,0.0179589751539687,-0.010299661448825019,200,1.0
CountDeclInstanceVariable,0.015576019886469167,-0.006349535807125823,200,1.0
OWN_LINE,0.014839668341244257,-0.00549687468982312,200,1.0
CountOutput_Min,0.013137460320626505,0.002533073480486013,200,1.0
CountDeclClassVariable,0.011690861317548982,0.003534279364844751,200,1.0
CountDeclMethodPrivate,0.011524243654634704,-0.0010932966122065356,200,1.0
CountDeclMethodDefault,0.010969055054897772,0.0006778753134229418,200,1.0
AvgLineBlank,0.009876944376458535,-0.0003200834417929398,200,1.0
MINOR_COMMIT,0.009465574618599159,-0.000750891411792383,200,1.0
CountDeclMethodPublic,0.008939893951906659,0.0028636346151880605,200,1.0
RatioCommentToCode,0.008868755082405729,-0.003832763663063418,200,1.0
CountDeclMethodProtected,0.006404340957196766,0.001407289922349915,200,1.0
CountClassBase,0.004975000714913758,0.0016767557881385464,200,1.0
CountInput_Mean,0.004361182389264484,0.002961426080192014,200,1.0
AvgLineComment,0.004223890004437814,0.0033009663518956058,200,1.0
MaxNesting_Mean,0.003503753018273623,-0.001853255937611402,200,1.0
AvgEssential,0.003392847082116508,-0.00021558887918374955,200,1.0
CountDeclClass,0.0026896822702261133,0.000971610616330113,199,0.995
MaxNesting_Min,0.0025785842825041174,-0.001283680250178463,200,1.0
CountClassCoupled,0.0025088534016302153,-0.0012533157475310734,200,1.0
CountDeclClassMethod,0.002477881434278567,-0.0010014336007845132,200,1.0
MaxInheritanceTree,0.0018488919593632666,-2.187906121111023e-05,200,1.0
CountLineComment,0.0017831812779489833,0.00012032915893110742,200,1.0
Added_lines,0.0013298357354862888,-3.1245489790265755e-05,200,1.0
CountClassDerived,0.0012687971717450103,-5.899020192298755e-05,200,1.0
CountInput_Min,0.0009997637329447375,9.220767066020757e-05,200,1.0
